['AStar-Alg3-FF-umtranslog1'],[0.07964611053466797]
['AStar-Alg3-FF-umtranslog2'],[0.06517982482910156]
['AStar-Alg3-FF-umtranslog3'],[0.07677102088928223]
['AStar-Alg3-FF-umtranslog4'],[0.07826590538024902]
['AStar-Alg3-FF-umtranslog5'],[0.08426523208618164]
['AStar-Alg3-FF-umtranslog6'],[0.10327982902526855]
['AStar-Alg3-FF-umtranslog7'],[0.10417795181274414]
['AStar-Alg3-FF-umtranslog8'],[0.10463213920593262]
['AStar-Alg3-FF-umtranslog9'],[0.10395097732543945]
['AStar-Alg3-FF-umtranslog10'],[0.10411810874938965]
['AStar-Alg3-FF-umtranslog11'],[0.10391902923583984]
['AStar-Alg3-FF-umtranslog12'],[0.10474300384521484]
['AStar-Alg3-FF-umtranslog13'],[0.06873297691345215]
['AStar-Alg3-FF-umtranslog14'],[0.0892798900604248]
['AStar-Alg3-FF-umtranslog15'],[0.10483789443969727]
['AStar-Alg3-FF-umtranslog16'],[2.481840133666992]
['AStar-Alg3-FF-umtranslog17'],[0.09553790092468262]
['AStar-Alg3-FF-umtranslog18'],[0.07802295684814453]
['AStar-Alg3-FF-umtranslog19'],[0.07694196701049805]
['AStar-Alg3-FF-umtranslog20'],[0.10387086868286133]
['AStar-Alg3-FF-umtranslog21'],[0.10468482971191406]
['AStar-Alg3-FF-umtranslog22'],[0.10383105278015137]
['AStar-Alg3-FF-satellite1'],[0.10337591171264648]
['AStar-Alg3-FF-satellite2'],[0.10483217239379883]
['AStar-Alg3-FF-satellite3'],[0.09874582290649414]
['AStar-Alg3-FF-satellite4'],[0.09206199645996094]
['AStar-Alg3-FF-satellite5'],[0.10676002502441406]
['AStar-Alg3-FF-satellite6'],[0.08185911178588867]
['AStar-Alg3-FF-satellite7'],[0.08309507369995117]
['AStar-Alg3-FF-satellite8'],[0.4149129390716553]
['AStar-Alg3-FF-satellite9'],[0.4877159595489502]
['AStar-Alg3-FF-satellite10'],[0.15254902839660645]
['AStar-Alg3-FF-satellite11'],[0.44517993927001953]
['AStar-Alg3-FF-satellite12'],[0.6920268535614014]
['AStar-Alg3-FF-satellite13'],[0.9866788387298584]
['AStar-Alg3-FF-satellite14'],[3.060615062713623]
['AStar-Alg3-FF-satellite15'],[0.6802520751953125]
['AStar-Alg3-FF-satellite16'],[71.26606798171997]
['AStar-Alg3-FF-satellite17'],[395.3940689563751]
['AStar-Alg3-FF-satellite18'],[430.3230378627777]
['AStar-Alg3-FF-satellite19'],[901.3328371047974]
['AStar-Alg3-FF-satellite20'],[901.4593069553375]
['AStar-Alg3-FF-satellite21'],[901.4079129695892]
['AStar-Alg3-FF-satellite22'],[901.3118209838867]
['AStar-Alg3-FF-satellite23'],[0.10304903984069824]
['AStar-Alg3-FF-satellite24'],[0.08839917182922363]
['AStar-Alg3-FF-satellite25'],[0.08933496475219727]
['AStar-Alg3-FF-entertainment1'],[0.07329106330871582]
['AStar-Alg3-FF-entertainment2'],[0.10353994369506836]
['AStar-Alg3-FF-entertainment3'],[0.0669870376586914]
['AStar-Alg3-FF-entertainment4'],[0.13473296165466309]
['AStar-Alg3-FF-entertainment5'],[0.06457304954528809]
['AStar-Alg3-FF-entertainment6'],[926.3910069465637]
['AStar-Alg3-FF-entertainment7'],[916.9216401576996]
['AStar-Alg3-FF-entertainment8'],[323.82010197639465]
['AStar-Alg3-FF-entertainment9'],[0.492434024810791]
['AStar-Alg3-FF-entertainment10'],[0.03431105613708496]
['AStar-Alg3-FF-entertainment11'],[0.030970096588134766]
['AStar-Alg3-FF-entertainment12'],[0.031709909439086914]
['AStar-Alg3-FF-rover1'],[0.022691965103149414]
['AStar-Alg3-FF-rover2'],[0.03122687339782715]
['AStar-Alg3-FF-rover3'],[0.004790067672729492]
['AStar-Alg3-FF-rover4'],[0.004305124282836914]
['AStar-Alg3-FF-rover5'],[0.03488898277282715]
['AStar-Alg3-FF-rover6'],[0.031347036361694336]
['AStar-Alg3-FF-rover7'],[0.0072650909423828125]
['AStar-Alg3-FF-rover8'],[0.004678010940551758]
['AStar-Alg3-FF-rover9'],[0.032206058502197266]
['AStar-Alg3-FF-rover10'],[0.031549930572509766]
['AStar-Alg3-FF-rover11'],[0.03125309944152832]
['AStar-Alg3-FF-rover12'],[0.032377004623413086]
['AStar-Alg3-FF-rover13'],[0.032109975814819336]
['AStar-Alg3-FF-rover14'],[0.03157806396484375]
['AStar-Alg3-FF-rover15'],[0.03198814392089844]
['AStar-Alg3-FF-rover16'],[0.029856204986572266]
['AStar-Alg3-FF-rover17'],[0.03140687942504883]
['AStar-Alg3-FF-rover18'],[0.03102898597717285]
['AStar-Alg3-FF-rover19'],[0.02327108383178711]
['AStar-Alg3-FF-rover20'],[0.03113698959350586]
['AStar-Alg3-FF-pcp1'],[0.02554917335510254]
['AStar-Alg3-FF-pcp2'],[0.026219844818115234]
['AStar-Alg3-FF-pcp3'],[0.023871183395385742]
['AStar-Alg3-FF-pcp4'],[0.025799036026000977]
['AStar-Alg3-FF-pcp5'],[0.02455902099609375]
['AStar-Alg3-FF-pcp6'],[0.022990942001342773]
['AStar-Alg3-FF-pcp7'],[0.02270817756652832]
['AStar-Alg3-FF-pcp8'],[0.02237677574157715]
['AStar-Alg3-FF-pcp9'],[0.022797107696533203]
['AStar-Alg3-FF-pcp10'],[0.023742198944091797]
['AStar-Alg3-FF-pcp11'],[0.022656917572021484]
['AStar-Alg3-FF-pcp12'],[0.021981000900268555]
['AStar-Alg3-FF-pcp13'],[0.02335190773010254]
['AStar-Alg3-FF-pcp14'],[0.021960020065307617]
['AStar-Alg3-FF-pcp15'],[0.022326946258544922]
['AStar-Alg3-FF-pcp16'],[0.022145986557006836]
['AStar-Alg3-FF-pcp17'],[0.02193593978881836]
['AStar-Alg3-FF-smartphone1'],[0.024942874908447266]
['AStar-Alg3-FF-smartphone2'],[0.025296926498413086]
['AStar-Alg3-FF-smartphone3'],[0.024397850036621094]
['AStar-Alg3-FF-smartphone4'],[0.024740934371948242]
['AStar-Alg3-FF-smartphone5'],[0.025272130966186523]
['AStar-Alg3-FF-smartphone6'],[0.024705886840820312]
['AStar-Alg3-FF-smartphone7'],[0.02535080909729004]
['AStar-Alg3-FF-transport1'],[0.024058818817138672]
['AStar-Alg3-FF-transport2'],[0.019242048263549805]
['AStar-Alg3-FF-transport3'],[0.01834702491760254]
['AStar-Alg3-FF-transport4'],[0.020478010177612305]
['AStar-Alg3-FF-transport5'],[0.018944978713989258]
