['AStar-Alg3-FF-umtranslog1'],[0.061280012130737305]
['AStar-Alg3-FF-umtranslog2'],[0.05881500244140625]
['AStar-Alg3-FF-umtranslog3'],[0.05760002136230469]
['AStar-Alg3-FF-umtranslog4'],[0.07458806037902832]
['AStar-Alg3-FF-umtranslog5'],[0.056243896484375]
['AStar-Alg3-FF-umtranslog6'],[0.0563809871673584]
['AStar-Alg3-FF-umtranslog7'],[0.056973934173583984]
['AStar-Alg3-FF-umtranslog8'],[0.05750608444213867]
['AStar-Alg3-FF-umtranslog9'],[0.0565340518951416]
['AStar-Alg3-FF-umtranslog10'],[0.058236122131347656]
['AStar-Alg3-FF-umtranslog11'],[0.056962013244628906]
['AStar-Alg3-FF-umtranslog12'],[0.05732297897338867]
['AStar-Alg3-FF-umtranslog13'],[0.05650687217712402]
['AStar-Alg3-FF-umtranslog14'],[0.056130170822143555]
['AStar-Alg3-FF-umtranslog15'],[0.05635190010070801]
['AStar-Alg3-FF-umtranslog16'],[0.1437389850616455]
['AStar-Alg3-FF-umtranslog17'],[0.0573580265045166]
['AStar-Alg3-FF-umtranslog18'],[0.05561017990112305]
['AStar-Alg3-FF-umtranslog19'],[0.056028127670288086]
['AStar-Alg3-FF-umtranslog20'],[0.06365299224853516]
['AStar-Alg3-FF-umtranslog21'],[0.05578899383544922]
['AStar-Alg3-FF-umtranslog22'],[0.056221961975097656]
['AStar-Alg3-FF-satellite1'],[0.05477094650268555]
['AStar-Alg3-FF-satellite2'],[0.06408309936523438]
['AStar-Alg3-FF-satellite3'],[0.0566868782043457]
['AStar-Alg3-FF-satellite4'],[0.05655217170715332]
['AStar-Alg3-FF-satellite5'],[0.056555986404418945]
['AStar-Alg3-FF-satellite6'],[0.05532503128051758]
['AStar-Alg3-FF-satellite7'],[0.06059384346008301]
['AStar-Alg3-FF-satellite8'],[0.21097302436828613]
['AStar-Alg3-FF-satellite9'],[0.32678699493408203]
['AStar-Alg3-FF-satellite10'],[0.13890719413757324]
['AStar-Alg3-FF-satellite11'],[0.41776108741760254]
['AStar-Alg3-FF-satellite12'],[0.6341590881347656]
['AStar-Alg3-FF-satellite13'],[0.7467679977416992]
['AStar-Alg3-FF-satellite14'],[1.54801607131958]
['AStar-Alg3-FF-satellite15'],[0.6503570079803467]
['AStar-Alg3-FF-satellite16'],[3.05639386177063]
['AStar-Alg3-FF-satellite17'],[3.060181140899658]
['AStar-Alg3-FF-satellite18'],[3.0563700199127197]
['AStar-Alg3-FF-satellite19'],[3.0561249256134033]
['AStar-Alg3-FF-satellite20'],[3.0523929595947266]
['AStar-Alg3-FF-satellite21'],[3.059441089630127]
['AStar-Alg3-FF-satellite22'],[3.10532808303833]
['AStar-Alg3-FF-satellite23'],[0.05119895935058594]
['AStar-Alg3-FF-satellite24'],[0.05121111869812012]
['AStar-Alg3-FF-satellite25'],[0.05102396011352539]
['AStar-Alg3-FF-entertainment1'],[0.051347970962524414]
['AStar-Alg3-FF-entertainment2'],[0.05155587196350098]
['AStar-Alg3-FF-entertainment3'],[0.052958011627197266]
['AStar-Alg3-FF-entertainment4'],[0.05338001251220703]
['AStar-Alg3-FF-entertainment5'],[0.05621004104614258]
['AStar-Alg3-FF-entertainment6'],[3.6773390769958496]
['AStar-Alg3-FF-entertainment7'],[4.024822950363159]
['AStar-Alg3-FF-entertainment8'],[3.371936082839966]
['AStar-Alg3-FF-entertainment9'],[3.368885040283203]
['AStar-Alg3-FF-entertainment10'],[3.1760590076446533]
['AStar-Alg3-FF-entertainment11'],[3.372028112411499]
