20s timeout,Stack-Add,Stack-FF,Stack-LmCut
entertainment-p12.hddl,1806,2201,1070
entertainment-p4.hddl,193000,193000,96500
entertainment-p1.hddl,-2147483648,-2147483648,37000
entertainment-p3.hddl,144000,144000,48000
entertainment-p11.hddl,1942,2254,2454
entertainment-p9.hddl,1934,2308,2821
entertainment-p5.hddl,202000,202000,64928
entertainment-p6.hddl,1511,1898,1858
entertainment-p10.hddl,1927,2793,654
entertainment-p7.hddl,1773,2129,1622
entertainment-p8.hddl,2252,2002,1250
entertainment-p2.hddl,-2147483648,29000,-2147483648
