20s timeout,Stack-Add,Stack-FF,Stack-LmCut
entertainment-p12.hddl,23.84,21.80,21.95
entertainment-p4.hddl,0.001,0.001,0.002
entertainment-p1.hddl,0,0,0.002
entertainment-p3.hddl,0.001,0.001,0.003
entertainment-p11.hddl,22.17,21.28,21.31
entertainment-p9.hddl,22.25,22.03,23.16
entertainment-p5.hddl,0.009,0.009,0.028
entertainment-p6.hddl,25.73,22.33,23.26
entertainment-p10.hddl,22.33,22.38,21.29
entertainment-p7.hddl,24.63,22.19,21.83
entertainment-p8.hddl,21.93,23.33,23.36
entertainment-p2.hddl,0,0.001,0
