20s timeout,Stack-Add,Stack-FF,Stack-LmCut
pcp-p3.hddl,1242,1415,1736
pcp-p9.hddl,1700,1853,2023
pcp-p8.hddl,1390,1395,506
pcp-p14.hddl,715,0,665
pcp-p5.hddl,1488,1883,1756
pcp-p11.hddl,1045,1209,1149
pcp-p4.hddl,1400,2012,1608
pcp-p17.hddl,1783,2228,2416
pcp-p13.hddl,741,857,796
pcp-p6.hddl,394,425,453
pcp-p16.hddl,597,1707,748
pcp-p2.hddl,1625,1925,1964
pcp-p7.hddl,1730,1617,1422
pcp-p15.hddl,934,1082,1225
pcp-p10.hddl,1205,1253,1221
pcp-p1.hddl,1529,1537,1386
pcp-p12.hddl,1223,1020,893
