20s timeout,Stack-Add,Stack-FF,Stack-LmCut
rover-p5.hddl,631898,345717,78703
rover-p16.hddl,157584,108545,4459
rover-p14.hddl,124965,123548,11052
rover-p19.hddl,27754,29814,652
rover-p10.hddl,178910,127330,7296
rover-p12.hddl,139695,118446,2826
rover-p18.hddl,74994,39696,2254
rover-p11.hddl,113983,119793,6653
rover-p15.hddl,106205,60370,8363
rover-p3.hddl,303529,303522,128299
rover-p1.hddl,486453,579714,108442
rover-p4.hddl,395309,395368,137226
rover-p6.hddl,184460,215728,16034
rover-p20.hddl,13673,10770,412
rover-p17.hddl,75349,53010,1279
rover-p8.hddl,139858,206155,7244
rover-p13.hddl,115908,141250,3114
rover-p7.hddl,371842,273004,100704
rover-p2.hddl,261505,261479,101635
rover-p9.hddl,160559,153928,16099
