20s timeout,Stack-Add,Stack-FF,Stack-LmCut
rover-p5.hddl,100424,65681,14312
rover-p16.hddl,28813,18317,949
rover-p14.hddl,20000,17320,1577
rover-p19.hddl,6658,6022,40
rover-p10.hddl,27068,25927,859
rover-p12.hddl,26530,21998,681
rover-p18.hddl,13838,7924,346
rover-p11.hddl,22198,17745,902
rover-p15.hddl,19270,12769,1698
rover-p3.hddl,124856,78670,17392
rover-p1.hddl,70826,84979,16057
rover-p4.hddl,67736,77973,19091
rover-p6.hddl,27648,36508,1937
rover-p20.hddl,6883,2845,57
rover-p17.hddl,16385,9764,147
rover-p8.hddl,23510,29825,1215
rover-p13.hddl,24838,21863,437
rover-p7.hddl,72266,48182,17674
rover-p2.hddl,142542,86866,16645
rover-p9.hddl,30764,25477,2713
