20s timeout,Stack-Add,Stack-FF,Stack-LmCut
satellite-p24.hddl,0,0,0.001
satellite-p7.hddl,0.009,0.006,0.015
satellite-p1.hddl,0,0,0
satellite-p20.hddl,21.04,21.01,21.19
satellite-p13.hddl,0.552,0.291,0.878
satellite-p4.hddl,0.002,0.002,0.005
satellite-p18.hddl,21.00,21.01,21.01
satellite-p8.hddl,0.041,0.042,0.135
satellite-p23.hddl,0,0,0
satellite-p16.hddl,21.00,21.02,21.16
satellite-p3.hddl,0.001,0,0.002
satellite-p21.hddl,21.01,21.00,21.11
satellite-p19.hddl,21.01,21.00,21.13
satellite-p12.hddl,0.097,0.081,0.301
satellite-p5.hddl,0.005,0.003,0.008
satellite-p9.hddl,0.062,0.034,0.212
satellite-p22.hddl,21.03,21.05,21.05
satellite-p14.hddl,0.231,0.532,1.72
satellite-p2.hddl,0.001,0,0.001
satellite-p25.hddl,0.001,0.001,0.002
satellite-p17.hddl,21.02,21.00,21.01
satellite-p6.hddl,0.003,0.002,0.005
satellite-p15.hddl,0.197,0.203,0.796
satellite-p10.hddl,0.087,0.085,0.218
satellite-p11.hddl,0.337,0.193,1.40
