,num_variables,num_primitive_tasks,num_non_primitive_tasks,total_tasks,num_methods,initial_heuristic,expanded_nodes,solution_length
entertainment-p1.hddl,20,24,20,44,45,8,43,15
entertainment-p2.hddl,10,11,10,21,20,7,15,11
entertainment-p3.hddl,24,28,24,52,57,10,79,18
entertainment-p4.hddl,20,26,27,53,65,9,88,13
entertainment-p5.hddl,39,49,42,91,108,14,735,18
entertainment-p6.hddl,64,104,135,239,404,12,951655,undefined
entertainment-p7.hddl,89,140,169,309,540,18,814786,undefined
entertainment-p8.hddl,89,141,157,298,457,25,978546,undefined
entertainment-p9.hddl,113,212,106,318,312,12,10923,12
entertainment-p10.hddl,131,246,133,379,402,18,821211,undefined
entertainment-p11.hddl,130,246,128,374,364,20,386851,26
entertainment-p12.hddl,148,280,155,435,454,26,744158,undefined

,num_variables,num_primitive_tasks,num_non_primitive_tasks,total_tasks,num_methods,initial_heuristic,expanded_nodes,solution_length
pcp-p1.hddl,7,10,3,13,13,7,265875,35
pcp-p2.hddl,8,12,3,15,17,6,466733,undefined
pcp-p3.hddl,7,10,3,13,13,7,221662,35
pcp-p4.hddl,8,12,3,15,13,7,1084,15
pcp-p5.hddl,8,12,3,15,17,6,351499,undefined
pcp-p6.hddl,7,10,3,13,13,7,252021,35
pcp-p7.hddl,7,10,3,13,13,7,416379,undefined
pcp-p8.hddl,7,10,3,13,13,7,1535,17
pcp-p9.hddl,9,14,3,17,17,6,506288,undefined
pcp-p10.hddl,6,8,3,11,9,8,305,15
pcp-p11.hddl,6,8,3,11,9,8,7405,33
pcp-p12.hddl,6,8,3,11,9,8,312091,55
pcp-p13.hddl,6,8,3,11,9,8,251381,undefined
pcp-p14.hddl,6,8,3,11,9,8,232659,undefined
pcp-p15.hddl,6,8,3,11,9,7,7653,33
pcp-p16.hddl,7,10,3,13,13,7,452684,37
pcp-p17.hddl,7,10,3,13,13,7,535349,undefined

