20s timeout,solution2/Exaustive/Stack-Add,solution2/Exaustive/Stack-FF,solution2/Exaustive/Stack-LmCut
woodworking-p10.hddl,193630,146308,36628
woodworking-p4.hddl,15,15,15
woodworking-p8.hddl,546521,260355,53247
woodworking-p9.hddl,540883,445460,49402
woodworking-p5.hddl,148,148,148
woodworking-p11.hddl,252825,190055,25665
woodworking-p1.hddl,5251,5250,5253
woodworking-p6.hddl,148,148,148
woodworking-p2.hddl,7,7,7
woodworking-p7.hddl,301534,268434,88984
woodworking-p3.hddl,21,21,21
