20s timeout,solution2/Exaustive/Stack-Add,solution2/Exaustive/Stack-FF,solution2/Exaustive/Stack-LmCut
woodworking-p10.hddl,35827,30992,6047
woodworking-p4.hddl,-2147483648,29000,-2147483648
woodworking-p8.hddl,73463,38546,7032
woodworking-p9.hddl,82496,66526,6860
woodworking-p5.hddl,117000,117000,43875
woodworking-p11.hddl,37709,33313,3938
woodworking-p1.hddl,159380,117473,33450
woodworking-p6.hddl,118333,177500,71000
woodworking-p2.hddl,-2147483648,-2147483648,14000
woodworking-p7.hddl,56508,49522,12875
woodworking-p3.hddl,-2147483648,-2147483648,56000
