['testing/AStar-Alg3-LmCut-umtranslog1'],[0.2858710289001465]
['testing/AStar-Alg3-LmCut-umtranslog2'],[0.26879310607910156]
['testing/AStar-Alg3-LmCut-umtranslog3'],[0.2749359607696533]
['testing/AStar-Alg3-LmCut-umtranslog4'],[0.2808680534362793]
['testing/AStar-Alg3-LmCut-umtranslog5'],[0.2868518829345703]
['testing/AStar-Alg3-LmCut-umtranslog6'],[0.28357505798339844]
['testing/AStar-Alg3-LmCut-umtranslog7'],[0.28063416481018066]
['testing/AStar-Alg3-LmCut-umtranslog8'],[0.2760500907897949]
['testing/AStar-Alg3-LmCut-umtranslog9'],[0.2825469970703125]
['testing/AStar-Alg3-LmCut-umtranslog10'],[0.25779104232788086]
['testing/AStar-Alg3-LmCut-umtranslog11'],[0.1949169635772705]
['testing/AStar-Alg3-LmCut-umtranslog12'],[0.16401195526123047]
['testing/AStar-Alg3-LmCut-umtranslog13'],[0.1683940887451172]
['testing/AStar-Alg3-LmCut-umtranslog14'],[0.15950989723205566]
['testing/AStar-Alg3-LmCut-umtranslog15'],[0.1411290168762207]
['testing/AStar-Alg3-LmCut-umtranslog16'],[0.12450790405273438]
['testing/AStar-Alg3-LmCut-umtranslog17'],[0.14473605155944824]
['testing/AStar-Alg3-LmCut-umtranslog18'],[0.16362810134887695]
['testing/AStar-Alg3-LmCut-umtranslog19'],[0.15626096725463867]
['testing/AStar-Alg3-LmCut-umtranslog20'],[0.14500093460083008]
['testing/AStar-Alg3-LmCut-umtranslog21'],[0.14662885665893555]
['testing/AStar-Alg3-LmCut-umtranslog22'],[0.15067005157470703]
['testing/AStar-Alg3-LmCut-satellite1'],[0.27591705322265625]
['testing/AStar-Alg3-LmCut-satellite2'],[0.33326292037963867]
['testing/AStar-Alg3-LmCut-satellite3'],[0.2900221347808838]
['testing/AStar-Alg3-LmCut-satellite4'],[0.30014991760253906]
['testing/AStar-Alg3-LmCut-satellite5'],[0.3181309700012207]
['testing/AStar-Alg3-LmCut-satellite6'],[0.3078138828277588]
['testing/AStar-Alg3-LmCut-satellite7'],[0.29227304458618164]
['testing/AStar-Alg3-LmCut-satellite8'],[0.34598302841186523]
['testing/AStar-Alg3-LmCut-satellite9'],[0.9571499824523926]
['testing/AStar-Alg3-LmCut-satellite10'],[0.19865202903747559]
['testing/AStar-Alg3-LmCut-satellite11'],[0.4131488800048828]
['testing/AStar-Alg3-LmCut-satellite12'],[4.63246488571167]
['testing/AStar-Alg3-LmCut-satellite13'],[0.4684481620788574]
['testing/AStar-Alg3-LmCut-satellite14'],[1.3982598781585693]
['testing/AStar-Alg3-LmCut-satellite15'],[3.2922019958496094]
['testing/AStar-Alg3-LmCut-satellite16'],[0.4632689952850342]
['testing/AStar-Alg3-LmCut-satellite17'],[1.3183209896087646]
['testing/AStar-Alg3-LmCut-satellite18'],[2.45210599899292]
['testing/AStar-Alg3-LmCut-satellite19'],[20.29955291748047]
['testing/AStar-Alg3-LmCut-satellite20'],[20.276857137680054]
['testing/AStar-Alg3-LmCut-satellite21'],[20.249977111816406]
['testing/AStar-Alg3-LmCut-satellite22'],[20.588522911071777]
['testing/AStar-Alg3-LmCut-satellite23'],[0.27181482315063477]
['testing/AStar-Alg3-LmCut-satellite24'],[0.30501317977905273]
['testing/AStar-Alg3-LmCut-satellite25'],[0.29044294357299805]
['testing/AStar-Alg3-LmCut-entertainment1'],[0.4382040500640869]
['testing/AStar-Alg3-LmCut-entertainment2'],[0.2970409393310547]
['testing/AStar-Alg3-LmCut-entertainment3'],[7.955366134643555]
['testing/AStar-Alg3-LmCut-entertainment4'],[0.3935399055480957]
['testing/AStar-Alg3-LmCut-entertainment5'],[20.361390113830566]
['testing/AStar-Alg3-LmCut-entertainment6'],[20.495137929916382]
['testing/AStar-Alg3-LmCut-entertainment7'],[20.6336510181427]
['testing/AStar-Alg3-LmCut-entertainment8'],[20.566220998764038]
['testing/AStar-Alg3-LmCut-entertainment9'],[0.43381309509277344]
['testing/AStar-Alg3-LmCut-entertainment10'],[20.698318004608154]
['testing/AStar-Alg3-LmCut-entertainment11'],[20.388175010681152]
['testing/AStar-Alg3-LmCut-entertainment12'],[20.413424015045166]
['testing/AStar-Alg3-LmCut-rover1'],[12.600467205047607]
['testing/AStar-Alg3-LmCut-rover2'],[0.3817789554595947]
['testing/AStar-Alg3-LmCut-rover3'],[17.960487842559814]
['testing/AStar-Alg3-LmCut-rover4'],[20.363624811172485]
['testing/AStar-Alg3-LmCut-rover5'],[20.412817001342773]
['testing/AStar-Alg3-LmCut-rover6'],[20.562267065048218]
['testing/AStar-Alg3-LmCut-rover7'],[20.61118507385254]
['testing/AStar-Alg3-LmCut-rover8'],[20.78052806854248]
['testing/AStar-Alg3-LmCut-rover9'],[20.642096996307373]
['testing/AStar-Alg3-LmCut-rover10'],[20.959609985351562]
['testing/AStar-Alg3-LmCut-rover11'],[21.09730887413025]
['testing/AStar-Alg3-LmCut-rover12'],[20.97321581840515]
