20s timeout,Stack-Add,Stack-FF,Stack-LmCut
pcp-p3.hddl,1601,1750,1856
pcp-p9.hddl,1599,2067,1837
pcp-p8.hddl,1781,1595,601
pcp-p14.hddl,1879,1325,1703
pcp-p5.hddl,1273,1237,1266
pcp-p11.hddl,2474,2486,2073
pcp-p4.hddl,2249,2235,2125
pcp-p17.hddl,2223,2725,2483
pcp-p13.hddl,2172,1966,1770
pcp-p6.hddl,513,557,519
pcp-p16.hddl,723,1847,829
pcp-p2.hddl,1192,1365,1510
pcp-p7.hddl,2646,2065,1811
pcp-p15.hddl,2283,2216,2147
pcp-p10.hddl,2861,2780,2408
pcp-p1.hddl,2087,1729,1485
pcp-p12.hddl,2811,2249,2030
