20s timeout,Stack-Add,Stack-FF,Stack-LmCut
pcp-p3.hddl,4395,5245,6516
pcp-p9.hddl,4518,5168,5823
pcp-p8.hddl,4966,5179,1799
pcp-p14.hddl,4233,3308,4253
pcp-p5.hddl,4481,5557,5065
pcp-p11.hddl,6197,6819,6212
pcp-p4.hddl,5017,7272,6310
pcp-p17.hddl,6439,8190,8680
pcp-p13.hddl,4885,4912,4421
pcp-p6.hddl,1411,1533,1669
pcp-p16.hddl,2166,5981,2692
pcp-p2.hddl,4454,5454,5463
pcp-p7.hddl,6613,6202,5666
pcp-p15.hddl,5681,6109,6434
pcp-p10.hddl,6438,7651,6636
pcp-p1.hddl,5732,5830,5215
pcp-p12.hddl,7059,5621,5560
