20s timeout,Stack-Add,Stack-FF,Stack-LmCut
pcp-p3.hddl,21.22,22.22,22.51
pcp-p9.hddl,21.25,22.30,23.02
pcp-p8.hddl,21.43,22.27,21.31
pcp-p14.hddl,23.66,41163.82,25.58
pcp-p5.hddl,24.07,23.60,23.07
pcp-p11.hddl,23.72,22.55,21.62
pcp-p4.hddl,21.49,21.67,23.53
pcp-p17.hddl,21.66,22.04,21.55
pcp-p13.hddl,26.34,22.92,22.20
pcp-p6.hddl,21.46,21.58,22.09
pcp-p16.hddl,21.73,21.02,21.58
pcp-p2.hddl,21.92,22.66,22.25
pcp-p7.hddl,22.92,23.00,23.90
pcp-p15.hddl,24.32,22.56,21.00
pcp-p10.hddl,21.35,24.41,21.73
pcp-p1.hddl,22.48,22.75,22.56
pcp-p12.hddl,23.07,22.03,24.89
