20s timeout,Stack-Add,Stack-FF,Stack-LmCut
rover-p5.hddl,73,70,63
rover-p16.hddl,85,78,84
rover-p14.hddl,60,60,69
rover-p19.hddl,107,112,95
rover-p10.hddl,87,78,61
rover-p12.hddl,53,60,41
rover-p18.hddl,82,70,66
rover-p11.hddl,62,74,63
rover-p15.hddl,77,58,68
rover-p3.hddl,48,48,45
rover-p1.hddl,43,44,38
rover-p4.hddl,45,44,40
rover-p6.hddl,83,81,67
rover-p20.hddl,87,89,92
rover-p17.hddl,115,66,68
rover-p8.hddl,63,62,66
rover-p13.hddl,103,115,75
rover-p7.hddl,55,54,65
rover-p2.hddl,33,34,34
rover-p9.hddl,74,69,76
