20s timeout,Stack-Add,Stack-FF,Stack-LmCut
rover-p5.hddl,21.03,21.04,21.13
rover-p16.hddl,21.12,21.01,23.98
rover-p14.hddl,21.00,21.06,21.16
rover-p19.hddl,21.25,21.19,65.92
rover-p10.hddl,21.13,21.07,23.43
rover-p12.hddl,21.01,21.04,21.72
rover-p18.hddl,21.23,21.25,25.29
rover-p11.hddl,21.09,21.05,21.66
rover-p15.hddl,21.11,21.03,23.34
rover-p3.hddl,6.88,10.92,21.14
rover-p1.hddl,21.04,21.01,21.03
rover-p4.hddl,17.11,14.86,21.09
rover-p6.hddl,21.01,21.03,21.60
rover-p20.hddl,22.21,21.19,52.55
rover-p17.hddl,21.19,21.04,37.02
rover-p8.hddl,21.00,21.12,21.77
rover-p13.hddl,21.07,21.00,21.82
rover-p7.hddl,21.10,21.02,21.05
rover-p2.hddl,6.02,9.88,21.00
rover-p9.hddl,21.05,21.06,21.44
