20s timeout,Stack-Add,Stack-FF,Stack-LmCut
satellite-p24.hddl,4,4,4
satellite-p7.hddl,9,9,9
satellite-p1.hddl,3,3,3
satellite-p20.hddl,30,29,30
satellite-p13.hddl,18,18,18
satellite-p4.hddl,10,10,10
satellite-p18.hddl,28,24,24
satellite-p8.hddl,16,16,16
satellite-p23.hddl,3,3,3
satellite-p16.hddl,24,23,23
satellite-p3.hddl,6,6,6
satellite-p21.hddl,20,20,20
satellite-p19.hddl,28,33,25
satellite-p12.hddl,22,22,22
satellite-p5.hddl,12,12,12
satellite-p9.hddl,16,16,16
satellite-p22.hddl,20,22,24
satellite-p14.hddl,22,22,22
satellite-p2.hddl,3,3,3
satellite-p25.hddl,6,6,6
satellite-p17.hddl,30,29,25
satellite-p6.hddl,13,13,13
satellite-p15.hddl,22,22,22
satellite-p10.hddl,14,14,14
satellite-p11.hddl,22,22,22
