20s timeout,Stack-Add,Stack-FF,Stack-LmCut
satellite-p24.hddl,22,22,22
satellite-p7.hddl,502,502,502
satellite-p1.hddl,5,5,5
satellite-p20.hddl,448311,521594,103414
satellite-p13.hddl,20088,20050,20022
satellite-p4.hddl,84,84,84
satellite-p18.hddl,842519,810876,231722
satellite-p8.hddl,3615,3620,3625
satellite-p23.hddl,5,5,5
satellite-p16.hddl,754158,939969,143015
satellite-p3.hddl,55,55,55
satellite-p21.hddl,989841,706312,187611
satellite-p19.hddl,610047,559307,105191
satellite-p12.hddl,5532,5528,5517
satellite-p5.hddl,246,246,246
satellite-p9.hddl,2482,2484,2486
satellite-p22.hddl,479732,416554,89508
satellite-p14.hddl,18225,18299,18386
satellite-p2.hddl,22,22,22
satellite-p25.hddl,55,55,55
satellite-p17.hddl,1123976,789151,276354
satellite-p6.hddl,155,155,155
satellite-p15.hddl,7169,7211,7188
satellite-p10.hddl,5506,5514,5500
satellite-p11.hddl,15344,15312,15321
