20s timeout,Stack-Add,Stack-FF,Stack-LmCut
transport-p13.hddl,12243,11235,16989
transport-p25.hddl,820,17721,748
transport-p27.hddl,11323,11424,614
transport-p29.hddl,972,9806,910
transport-p17.hddl,11007,11347,3756
transport-p28.hddl,10397,14995,261
transport-p26.hddl,6575,9902,437
transport-p11.hddl,647,19007,21007
transport-p15.hddl,11130,1216,10713
transport-p22.hddl,13417,14621,1064
transport-p9.hddl,9109,981,13063
transport-p21.hddl,831,1103,2159
transport-p10.hddl,14012,1028,12234
transport-p5.hddl,25007,20003,12503
transport-p6.hddl,774,5320,5022
transport-p18.hddl,2489,13926,2337
transport-p2.hddl,12509,10730,10879
transport-p30.hddl,11131,5828,335
transport-p14.hddl,813,23606,13631
transport-p16.hddl,12523,12261,14704
transport-p19.hddl,11321,16962,733
transport-p24.hddl,56437,25983,22915
transport-p3.hddl,9862,2392,2735
transport-p12.hddl,13481,4011,775
transport-p1.hddl,957,797,845
transport-p23.hddl,924,18312,1319
transport-p8.hddl,14131,13757,10639
transport-p4.hddl,16682,10250,11727
transport-p20.hddl,910,7620,1939
transport-p7.hddl,17407,24173,13765
