20s timeout,Stack-Add,Stack-FF,Stack-LmCut
transport-p13.hddl,25.21,21.82,23.50
transport-p25.hddl,21.21,21.10,38.80
transport-p27.hddl,21.42,22.33,26.55
transport-p29.hddl,21.36,22.42,108.73
transport-p17.hddl,25.46,21.54,22.30
transport-p28.hddl,22.47,23.36,28.99
transport-p26.hddl,22.62,22.17,22.49
transport-p11.hddl,21.11,23.25,22.10
transport-p15.hddl,24.68,21.83,21.79
transport-p22.hddl,21.72,21.26,21.41
transport-p9.hddl,23.62,21.25,21.35
transport-p21.hddl,21.26,21.41,30.87
transport-p10.hddl,23.02,21.24,21.12
transport-p5.hddl,21.51,21.93,24.18
transport-p6.hddl,21.24,21.52,21.10
transport-p18.hddl,21.44,21.81,26.02
transport-p2.hddl,22.80,22.30,24.68
transport-p30.hddl,22.23,22.93,158.68
transport-p14.hddl,21.30,23.10,22.36
transport-p16.hddl,22.62,21.92,23.06
transport-p19.hddl,23.45,22.85,21.37
transport-p24.hddl,22.51,22.30,21.00
transport-p3.hddl,23.88,21.19,21.19
transport-p12.hddl,21.71,21.51,21.05
transport-p1.hddl,21.38,21.57,21.26
transport-p23.hddl,21.53,21.42,29.61
transport-p8.hddl,21.66,23.45,22.30
transport-p4.hddl,24.60,21.21,21.46
transport-p20.hddl,21.17,21.47,24.73
transport-p7.hddl,21.02,21.39,22.85
