20s timeout,Stack-Add,Stack-FF,Stack-LmCut
umtranslog-p2.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p21.hddl,145000,72500,41428
umtranslog-p10.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p19.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p18.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p6.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p15.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p12.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p13.hddl,-2147483648,2000,-2147483648
umtranslog-p7.hddl,2000,-2147483648,-2147483648
umtranslog-p20.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p4.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p8.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p3.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p17.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p9.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p11.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p1.hddl,-2147483648,-2147483648,-2147483648
umtranslog-p14.hddl,-2147483648,-2147483648,2000
umtranslog-p22.hddl,80000,80000,40000
umtranslog-p16.hddl,undefined,undefined,undefined
umtranslog-p5.hddl,-2147483648,-2147483648,-2147483648
